order_date,sku_id,order_quantity
2019-11-19,3084CA,1
2019-06-30,2621AA,20
2020-04-19,1193BA,147
2020-05-21,1971AA,10
2019-03-31,3177CA,56.25
2019-07-04,1385CA,13
2019-06-28,1479CA,4
2019-12-21,1206BA,21
2019-05-06,1486CA,2
2019-05-14,1479CA,10
2019-08-16,3399AA,2
2019-08-31,1970CA,15
2019-12-07,1497CA,160
2019-08-16,3512AA,100
2019-12-15,2970CA,1
2019-06-06,2277AA,300
2019-04-14,3462AA,50
2020-02-22,1193BA,90
2019-05-02,1385CA,7
2019-11-20,2212AA,2
2019-08-28,2621AA,4
2020-01-05,1695CA,1
2019-08-09,2078CA,2
2019-09-16,1995AA,190
2019-12-13,2847BA,582
2019-03-02,2337CA,252
2019-12-04,2488CA,18
2020-04-19,3079BA,6
2019-09-07,2317CA,2310
2019-06-14,1499AA,1000
2019-04-26,2458CA,24800
2019-04-25,1907AA,1
2019-12-23,1382CA,10
2019-11-11,3461CA,3
2019-05-19,2096BA,35
2019-06-08,2291AA,124
2019-08-31,2953BA,60
2019-04-17,3512AA,500
2019-10-25,2044CA,4
2019-10-07,3448CA,20
2020-04-01,2814BA,250
2019-05-25,1624CA,3
2020-02-01,2953BA,90
2020-01-04,1993AA,310
2019-11-14,3161BA,100
2019-02-26,2923CA,146
2020-03-13,2953BA,50
2019-06-08,2867AA,10
2019-03-03,3413AA,10
2019-04-20,1479CA,2
2019-03-20,1130AA,250
2020-01-10,2331CA,662
2020-05-23,2315BA,30
2020-05-21,2291AA,3360
2019-02-11,2189CA,5
2020-01-25,2212AA,4
2019-05-09,3576BA,10
2019-06-20,1382CA,4
2019-10-13,1479CA,2
2019-04-06,1499CA,1
2019-07-18,2200CA,4
2019-03-14,2277AA,744
2020-01-02,2956AA,9
2019-07-24,1193BA,31
2019-08-15,2515BA,401
2020-05-10,2039CA,10
2020-05-16,2331CA,82
2019-08-07,2501CA,12
2020-02-27,2317CA,180
2019-12-06,2066AA,1
2020-06-13,1486CA,5
2019-05-01,1163CA,505
2020-05-18,3177CA,67.5
2019-11-22,1511CA,20
2019-11-05,1906CA,1
2020-05-04,2212AA,2
2019-03-18,3590BA,2
2019-12-04,1479CA,2
2019-11-24,1083AA,80
2020-04-23,3084CA,1
2019-09-13,3533CA,30000
2019-02-19,3120BA,4
2020-03-02,3404CA,10
2020-05-13,2640BA,66
2019-12-03,3084CA,1
2019-03-24,1945AA,2
2019-02-06,1145BA,18
2019-12-06,2930CA,1
2019-04-04,2876CA,2
2019-11-14,2923CA,1
2019-05-14,2025AA,10
2020-01-08,2293AA,63
2019-11-24,2930CA,80
2019-02-21,1130AA,544
2020-05-17,2229AA,2
