sku_id,avg_weekly_demand,peak_weekly_demand,sd_weekly_demand,coefficient_of_variation,cv_percentile,xyz_class
3178CA,4.2892,9.3258,2.5053,0.5841,0.0,X
3249CA,32.4001,62.9908,19.0266,0.5872,0.33,X
3271CA,5.3408,12.0538,3.2265,0.6041,0.66,X
3205AA,3.5822,8.2539,2.1811,0.6089,0.99,X
3180BA,33.6279,74.3558,21.4748,0.6386,1.32,X
3264CA,34.5006,71.6641,22.5637,0.654,1.66,X
3239AA,33.0978,88.2952,22.0862,0.6673,1.99,X
1582CA,4.848,12.72,3.2536,0.6711,2.32,X
1826AA,18.584,48.5771,12.4961,0.6724,2.65,X
1902BA,16.2665,41.305,11.278,0.6933,2.98,X
2365AA,16.1369,41.3813,11.4635,0.7104,3.31,X
1295CA,2.4553,6.7727,1.7445,0.7105,3.64,X
1764AA,14.6229,32.0087,10.4488,0.7146,3.97,X
3038BA,3.6155,9.4181,2.6002,0.7192,4.3,X
3126BA,16.5713,45.3529,11.929,0.7199,4.64,X
1688CA,18.6164,46.1099,13.4102,0.7203,4.97,X
3075BA,49.1559,180.0,35.6316,0.7249,5.3,X
1584BA,4.0353,10.6105,2.9321,0.7266,5.63,X
2336BA,704.5705,2620.8354,513.4557,0.7288,5.96,X
1281BA,2.546,7.837,1.8629,0.7317,6.29,X
1468AA,16.2642,44.6149,11.9393,0.7341,6.62,X
2391CA,54586.4541,137569.7378,40288.7363,0.7381,6.95,X
3006CA,16.132,47.4355,11.911,0.7383,7.28,X
1801AA,25.6691,75.9157,19.0314,0.7414,7.62,X
3016BA,3.8417,11.4411,2.8563,0.7435,7.95,X
1283CA,2.1366,5.4,1.5985,0.7481,8.28,X
1767CA,15.4894,45.9318,11.6055,0.7493,8.61,X
1317BA,17.149,43.5473,12.873,0.7507,8.94,X
1373BA,16.1826,42.6625,12.1586,0.7513,9.27,X
1678CA,17.0652,59.5623,12.9009,0.756,9.6,X
2117BA,107.4873,315.7924,81.6136,0.7593,9.93,X
1712AA,17.2196,59.1471,13.1218,0.762,10.26,X
1681CA,85.4064,324.7401,65.1256,0.7625,10.6,X
1819AA,15.3683,41.4316,11.75,0.7646,10.93,X
1857AA,17.0911,52.7976,13.0755,0.7651,11.26,X
1326AA,16.2994,47.9039,12.4938,0.7665,11.59,X
3007CA,6.4939,19.1388,4.9824,0.7672,11.92,X
1745BA,9.5491,26.3885,7.3314,0.7678,12.25,X
1851CA,16.7966,52.3672,12.9299,0.7698,12.58,X
2528CA,3387.1694,12394.2238,2608.9077,0.7702,12.91,X
1876AA,3.8264,11.021,2.9657,0.775,13.25,X
1842BA,3.0384,9.6196,2.3565,0.7756,13.58,X
2418CA,32991.16,111770.0,25612.7073,0.7764,13.91,X
1308BA,15.8181,47.4029,12.2973,0.7774,14.24,X
1390BA,16.359,51.5636,12.77,0.7806,14.57,X
1811CA,18.0704,53.3487,14.1119,0.7809,14.9,X
2143AA,15.4356,40.7342,12.0928,0.7834,15.23,X
2548CA,16.8066,53.3762,13.2352,0.7875,15.56,X
1571AA,12.4634,35.6897,9.8421,0.7897,15.89,X
1374CA,17.8835,55.3188,14.1281,0.79,16.23,X
2096AA,16.2032,45.1567,12.8935,0.7957,16.56,X
1624AA,6.1923,19.0,4.9304,0.7962,16.89,X
1798AA,11.1677,39.7642,8.901,0.797,17.22,X
1315BA,16.6212,47.514,13.2752,0.7987,17.55,X
1434BA,17.2643,45.3336,13.8001,0.7993,17.88,X
1947CA,16.6489,53.6591,13.3393,0.8012,18.21,X
1766CA,17.8431,66.9152,14.3264,0.8029,18.54,X
1420CA,17.4885,52.8594,14.1335,0.8082,18.87,X
1830AA,16.4301,58.3314,13.3185,0.8106,19.21,X
1403CA,5.2214,24.6756,4.2467,0.8133,19.54,X
1367CA,2.6323,10.9407,2.1452,0.815,19.87,X
1488CA,17.4524,57.7931,14.2245,0.815,20.2,Y
3098AA,18.5181,77.5303,15.1521,0.8182,20.53,Y
2422BA,3683.8194,13948.547,3031.1295,0.8228,20.86,Y
1672AA,16.9086,65.1878,13.948,0.8249,21.19,Y
1698CA,16.958,61.471,14.0057,0.8259,21.52,Y
1325AA,17.0338,52.6721,14.1103,0.8284,21.85,Y
2449CA,16.4934,66.6087,13.6633,0.8284,22.19,Y
1695CA,3.4038,11.0,2.8234,0.8295,22.52,Y
1741BA,7.7814,29.1587,6.4857,0.8335,22.85,Y
1827AA,16.8577,64.9366,14.0694,0.8346,23.18,Y
1321BA,15.3468,55.311,12.8214,0.8354,23.51,Y
1296CA,17.356,69.784,14.5103,0.836,23.84,Y
1130AA,920.1538,2933.0,772.87,0.8399,24.17,Y
1244AA,9871.1563,38142.3249,8297.7901,0.8406,24.5,Y
3619CA,6909.5192,27743.0,5836.9505,0.8448,24.83,Y
2539AA,16.9262,58.6462,14.3368,0.847,25.17,Y
3399AA,7.8846,27.0,6.6871,0.8481,25.5,Y
2473CA,25578.3881,131650.704,22104.974,0.8642,25.83,Y
1479CA,23.1346,82.0,19.9952,0.8643,26.16,Y
1196AA,15.1382,45.5616,13.4376,0.8877,26.49,Y
1486CA,9.9808,43.0,8.8828,0.89,26.82,Y
1206BA,232.8976,1143.8182,207.8237,0.8923,27.15,Y
1499CA,5.2885,20.0,4.7367,0.8957,27.48,Y
2371CA,20299.4369,72562.7026,18289.0682,0.901,27.81,Y
2867AA,44.8654,136.0,40.7851,0.9091,28.15,Y
1317CA,2.1154,9.0,1.9676,0.9301,28.48,Y
3404CA,25.0,116.0,23.5405,0.9416,28.81,Y
1464AA,5.0769,30.0,4.8072,0.9469,29.14,Y
2970CA,3.0192,11.0,2.8588,0.9469,29.47,Y
1497CA,498.7123,2293.0,479.1235,0.9607,29.8,Y
1382CA,18.6154,89.0,17.9274,0.963,30.13,Y
1956CA,2.8269,14.0,2.7716,0.9804,30.46,Y
3250CA,513.9423,2205.0,506.2689,0.9851,30.79,Y
3494AA,151.5769,650.0,150.5009,0.9929,31.13,Y
2013AA,253.0673,1292.5,256.3246,1.0129,31.46,Y
2508BA,1.7692,6.0,1.7933,1.0136,31.79,Y
1077CA,7399.5577,34554.0,7519.7685,1.0162,32.12,Y
1624CA,5.5577,25.0,5.6481,1.0163,32.45,Y
1083AA,5485.6154,24126.0,5631.3172,1.0266,32.78,Y
2573CA,95.7984,631.0867,98.6253,1.0295,33.11,Y
3053AA,59.9231,379.0,62.4933,1.0429,33.44,Y
3358BA,3.6346,23.0,3.808,1.0477,33.77,Y
1163CA,266.4808,1489.0,279.2773,1.048,34.11,Y
2458CA,8532.0551,60373.1392,8950.4422,1.049,34.44,Y
2317CA,2197.1729,11267.33,2307.6952,1.0503,34.77,Y
3512AA,5798.0577,32670.0,6110.2704,1.0538,35.1,Y
2565CA,340.5005,2437.6875,367.2976,1.0787,35.43,Y
1630BA,4.3654,25.0,4.7354,1.0848,35.76,Y
1906CA,2.4423,13.0,2.656,1.0875,36.09,Y
2935BA,34.0654,213.0,37.6207,1.1044,36.42,Y
3084CA,3.8269,27.0,4.2459,1.1095,36.75,Y
3120BA,4.6154,22.0,5.1372,1.1131,37.09,Y
2331CA,609.5865,3664.0,686.1874,1.1257,37.42,Y
1993AA,1528.2788,7000.0,1729.1959,1.1315,37.75,Y
2953CA,3.0577,21.0,3.4719,1.1355,38.08,Y
3138CA,8.9808,41.0,10.2122,1.1371,38.41,Y
3533CA,9450.5769,54431.0,10767.8403,1.1394,38.74,Y
2267CA,19.9694,157.2804,23.2715,1.1654,39.07,Y
3027CA,0.9038,5.0,1.0608,1.1737,39.4,Y
1499AA,427.5982,2905.106,504.6029,1.1801,39.74,Y
1601AA,6.7308,50.0,7.9521,1.1814,40.07,Y
2513CA,2.4423,18.0,2.951,1.2083,40.4,Y
2606AA,4.8269,22.0,5.8564,1.2133,40.73,Y
1379CA,23.9615,183.0,29.2259,1.2197,41.06,Y
2923CA,74.4763,370.77,91.9896,1.2352,41.39,Y
3551CA,1565.3269,11800.0,1938.7892,1.2386,41.72,Y
3193AA,8.9423,54.0,11.1431,1.2461,42.05,Y
1126CA,6612.25,34572.0,8336.6476,1.2608,42.38,Y
3423CA,5.1538,43.0,6.5468,1.2703,42.72,Y
3502BA,23.5577,152.0,30.2543,1.2843,43.05,Y
1908AA,1.2885,11.0,1.7022,1.3211,43.38,Y
1009AA,1266.6538,9805.0,1685.4447,1.3306,43.71,Y
3025CA,2.2308,14.0,2.9975,1.3437,44.04,Y
2227AA,6.7115,52.0,9.1364,1.3613,44.37,Y
2060AA,5.0385,38.0,6.8835,1.3662,44.7,Y
3420AA,4.8077,43.0,6.6565,1.3846,45.03,Y
1161AA,228.8654,1577.0,323.2427,1.4124,45.36,Y
3407CA,12.3846,126.0,17.5632,1.4181,45.7,Y
2953BA,173.6154,1397.0,249.6709,1.4381,46.03,Y
2501CA,1479.3846,14687.0,2130.0229,1.4398,46.36,Y
2752AA,65.4231,407.0,96.0031,1.4674,46.69,Y
2673BA,611.9231,4440.0,899.7497,1.4704,47.02,Y
1511CA,39.4231,338.0,58.074,1.4731,47.35,Y
2291AA,1331.9038,13325.0,1972.2287,1.4808,47.68,Y
1964BA,917.3365,6290.0,1358.4572,1.4809,48.01,Y
2988AA,1.7885,14.0,2.6554,1.4848,48.34,Y
1116CA,5463.5769,39733.0,8300.6851,1.5193,48.68,Y
3590BA,24.5962,164.0,37.4722,1.5235,49.01,Y
2498CA,1.5192,12.0,2.3245,1.5301,49.34,Y
2016CA,249.4135,2176.5,386.8621,1.5511,49.67,Y
2348BA,0.3269,2.0,0.5084,1.5552,50.0,Y
3576BA,19.8077,216.0,30.987,1.5644,50.33,Z
1330CA,0.9808,8.0,1.5379,1.568,50.66,Z
3079BA,488.3269,4317.0,767.2086,1.5711,50.99,Z
1224AA,124.2115,868.0,195.9464,1.5775,51.32,Z
2763CA,569.0385,4710.0,897.8938,1.5779,51.66,Z
1385CA,18.0192,191.0,28.7419,1.5951,51.99,Z
1970CA,275.6827,3086.0,440.2917,1.5971,52.32,Z
2277AA,822.7692,5621.0,1331.9298,1.6188,52.65,Z
3177CA,221.0923,2121.75,363.7002,1.645,52.98,Z
2212CA,4.3462,44.0,7.2028,1.6573,53.31,Z
