sku_id,abc_class,xyz_class,current_stock_qty,safety_stock,reorder_point,replenishment_gap,stock_status,annual_revenue,inventory_turnover
2473CA,A,Y,73915.0,1511023.07,1730266.4,1656351.4,Critical,7913953.27,17.9947
2371CA,A,Y,78462.0,1148796.89,1409789.65,1331327.65,Critical,3631163.27,13.4533
2418CA,A,X,120860.0,1074425.77,1357207.14,1236347.14,Critical,9950133.85,14.1944
1116CA,A,Y,33398.0,724414.01,794660.0,761262.0,Critical,9318676.8,8.5067
1244AA,A,Y,2834.0,301619.1,365076.54,362242.54,Critical,30798007.55,181.1221
1967BA,A,Z,4190.5,318165.31,336175.86,331985.36,Critical,9761793.3,13.0395
1077CA,A,Y,46516.0,297971.41,345540.0,299024.0,Critical,8890692.53,8.3181
1126CA,A,Y,39270.0,263701.82,306209.14,266939.14,Critical,11277853.6,8.7557
1083AA,A,Y,48210.0,199102.19,234366.86,186156.86,Critical,8304827.52,5.936
2317CA,A,Y,3420.0,124423.14,143256.05,139836.05,Critical,4304666.16,33.7748
2422BA,A,Y,11006.0,73881.43,89669.23,78663.23,Critical,9558774.61,17.4049
1993AA,A,Y,21334.0,80900.47,94000.0,72666.0,Critical,6691347.99,3.745
2528CA,A,X,3996.0,61619.51,76135.95,72139.95,Critical,3698788.97,44.0773
1193BA,A,Z,2957.0,66646.62,70340.57,67383.57,Critical,12176100.0,5.0524
1964BA,A,Y,21840.0,78399.97,86262.86,64422.86,Critical,4728539.5,2.1841
2331CA,A,Y,227.0,38219.54,43444.57,43217.57,Critical,6660621.64,139.641
1970CA,A,Z,790.5,39959.29,42322.29,41531.79,Critical,3511165.34,18.1347
2016CA,A,Y,2520.5,24602.03,26739.86,24219.36,Critical,3467057.97,5.1456
1224AA,A,Z,194.0,13407.0,15004.0,14810.0,Critical,4508382.0,33.2938
2565CA,A,Y,1735.0,12470.35,13929.64,12194.64,Critical,8198524.26,10.2052
1990AA,A,Z,2167.5,13318.41,14361.07,12193.57,Critical,3452742.55,2.9183
2117BA,A,X,372.0,5736.38,7579.02,7207.02,Critical,13548563.93,15.0251
2573CA,A,Y,444.0,6481.45,7302.57,6858.57,Critical,8065024.9,11.2196
3079BA,A,Z,13347.0,13754.73,14801.14,1454.14,Critical,3421411.0,1.9059
1921AA,A,Z,4.0,1029.14,1054.86,1050.86,Critical,5200000.0,26.0
3098AA,A,Y,88.0,203.99,243.67,155.67,Critical,3723045.94,10.9539
1295CA,A,X,5.0,110.78,152.87,147.87,Critical,22343064.43,25.5349
3007CA,A,X,5.0,100.67,128.5,123.5,Critical,6359374.1,67.5368
3016BA,A,X,6.0,96.19,129.12,123.12,Critical,3996481.22,33.2944
3205AA,A,X,14.0,76.6,107.3,93.3,Critical,14212822.33,13.3054
1281BA,A,X,3.0,73.34,95.16,92.16,Critical,18468365.53,44.1299
1283CA,A,X,0.0,52.66,70.97,70.97,Critical,11023535.68,
3178CA,A,X,4.0,44.23,62.62,58.62,Critical,5798949.41,55.7591
1876AA,A,X,5.0,46.58,62.98,57.98,Critical,4560312.87,39.795
2391CA,B,X,87174.0,965826.0,1316738.92,1229564.92,Critical,2154843.94,32.5613
2458CA,B,Y,79661.0,497134.06,551982.99,472321.99,Critical,3031411.54,5.5694
2291AA,B,Y,2510.0,340749.51,363582.14,361072.14,Critical,1299019.03,27.5932
2501CA,B,Y,22117.0,243247.2,262267.86,240150.86,Critical,2701845.98,3.4782
3461CA,B,Z,177.0,113499.45,115000.53,114823.53,Critical,1095206.27,205.8145
2714CA,B,Z,9013.99999999999,74616.68,81928.57,72914.57,Critical,1555679.99,3.4657
1009AA,B,Y,7210.0,61805.77,67234.29,60024.29,Critical,1894520.88,9.1354
1130AA,B,Y,13622.0,46410.45,58241.0,44619.0,Critical,826147.87,3.5126
2021CA,B,Z,7873.0,48840.33,50125.71,42252.71,Critical,2302551.88,0.9905
2326CA,B,Z,6083.67,44670.81,46179.6,40095.93,Critical,1163556.66,3.0091
2680BA,B,Z,4097.0,39718.33,40236.57,36139.57,Critical,903669.44,1.0232
1971AA,B,Z,1890.5,31435.47,34072.5,32182.0,Critical,2575253.25,4.2312
1161AA,B,Y,197.0,29048.02,31990.57,31793.57,Critical,1651676.51,61.3807
2013AA,B,Y,3371.0,30559.2,34897.5,31526.5,Critical,1892865.11,3.9037
3250CA,B,Y,418.0,25204.78,29610.0,29192.0,Critical,928785.15,63.9354
2847BA,B,Z,3638.0,28477.45,31050.86,27412.86,Critical,2564931.23,2.9159
2564BA,B,Z,1340.0,26927.57,28498.29,27158.29,Critical,2946414.44,7.1112
1163CA,B,Y,2161.0,25502.96,28929.14,26768.14,Critical,1311762.51,6.4123
2025AA,B,Z,2727.0,28307.2,29051.43,26324.43,Critical,2008120.68,1.663
1145BA,B,Z,1816.0,26212.99,27797.14,25981.14,Critical,1093042.66,7.0562
2044CA,B,Z,1711.0,23577.23,24330.86,22619.86,Critical,1695736.98,1.3378
1994AA,B,Z,4317.0,18877.25,19987.5,15670.5,Critical,3034589.74,1.5602
2041CA,B,Z,1256.0,13642.91,13916.57,12660.57,Critical,1097904.74,1.3481
2640BA,B,Z,2588.0,13824.79,14136.0,11548.0,Critical,839134.19,0.7295
1206BA,B,Y,786.0,9777.58,11274.78,10488.78,Critical,2865685.35,15.408
1234BA,B,Z,532.0,8367.43,9126.0,8594.0,Critical,3068178.0,11.5808
1979AA,B,Z,1256.5,9177.2,9668.57,8412.07,Critical,830619.88,2.3725
2646AA,B,Z,277.0,7009.49,7491.14,7214.14,Critical,1327073.26,5.2744
1992AA,B,Z,2714.5,7735.77,8411.43,5696.93,Critical,2403619.17,1.51
2515BA,B,Z,8140.0,12507.13,13305.43,5165.43,Critical,871740.0,1.1899
2766AA,B,Z,7502.0,11376.64,12402.0,4900.0,Critical,1508812.88,0.5528
2600BA,B,Z,417.0,5081.98,5165.71,4748.71,Critical,745637.32,1.2182
2670CA,B,Z,292.0,3590.57,3654.86,3362.86,Critical,1774500.0,1.3356
2662CA,B,Z,173.0,2733.96,2811.43,2638.43,Critical,947255.1,2.7168
2267CA,B,Y,107.0,1873.48,2044.65,1937.65,Critical,1969277.96,9.7047
1385CA,B,Z,89.0,1685.02,1800.86,1711.86,Critical,1669310.01,10.5281
3556AA,B,Z,262.0,1271.09,1332.0,1070.0,Critical,796221.69,2.8206
3177CA,B,Z,11771.05,11782.96,12730.5,959.45,Critical,798526.57,0.9767
3502BA,B,Y,376.0,1059.67,1194.29,818.29,Critical,1512060.38,3.258
1801AA,B,X,15.0,388.86,498.87,483.87,Critical,1668493.1,88.9863
1907AA,B,Z,30.0,485.82,508.57,478.57,Critical,913203.96,4.6
1908AA,B,Y,22.0,224.63,246.71,224.71,Critical,1863209.7,3.0455
1499CA,B,Y,25.0,200.38,245.71,220.71,Critical,1828200.0,11.08
1367CA,B,X,5.0,155.27,189.12,184.12,Critical,3011363.24,27.376
2988AA,B,Y,29.0,72.33,80.0,51.0,Critical,861273.0,3.2069
1265CA,B,Z,6.0,53.3,56.43,50.43,Critical,1966500.0,3.1667
1842BA,B,X,6.0,43.32,56.34,50.34,Critical,1034594.1,26.3324
1255CA,B,Z,10.0,53.68,59.29,49.29,Critical,2873000.0,3.4
1266CA,B,Z,5.0,34.71,36.86,31.86,Critical,1545700.0,2.6
2342CA,C,Z,51818.0,667774.21,677999.43,626181.43,Critical,172256.34,1.1971
2483BA,C,Z,107097.0,554676.68,567000.0,459903.0,Critical,280355.63,1.3961
2337CA,C,Z,32086.0,472525.41,483569.86,451483.86,Critical,115718.2,2.0882
3533CA,C,Y,82476.0,443651.56,497654.86,415178.86,Critical,316367.89,5.9585
2396CA,C,Z,124908.0,391970.58,407428.57,282520.57,Critical,145546.96,1.524
